MCNS,BANC,FAFB
10169,720575941477726017,720575940638128474
13431,720575941574984861,720575940609282825
10515,720575941535620018,720575940632416298
10473,720575941508686686,720575940623636701
62555,720575941544269317,720575940623137741
10456,720575941521520307,720575940623000858
10133,720575941519202732,720575940634545890
10376,720575941435549582,720575940633294796
523591,720575941617780437,720575940632403986
67052,720575941474918442,720575940611379569
10254,720575941481065635,720575940632795532
